did,all_exp
ID7965,mutant-or207 ;;RNAi-III5C03 ;feeding-drop ;48h ;;RNAi-III5C03 ;feeding-drop ;48h
ID7966,mutant-or207 ;;RNAi-III5C03 ;feeding-drop ;48h ;;RNAi-III5C03 ;feeding-drop ;48h
ID7967,mutant-or207 ;;RNAi-III5C03 ;feeding-drop ;48h ;;RNAi-III5C03 ;feeding-drop ;48h
ID2311,none
ID2312,none
ID2314,none
ID2315,none
ID2316,none
ID2317,none
ID2319,none
ID1268,RNAi-II9I18 ;feeding-drop ;24h
ID1264,RNAi-II9I18 ;feeding-drop ;24h
ID1265,RNAi-II9I18 ;feeding-drop ;24h
ID1266,RNAi-II9I18 ;feeding-drop ;24h
ID1267,RNAi-II9I18 ;feeding-drop ;24h
ID1260,RNAi-II9I18 ;feeding-drop ;24h
ID1261,RNAi-II9I18 ;feeding-drop ;24h
ID1263,RNAi-II9I18 ;feeding-drop ;24h
ID4351,RNAi-II9C20 ;feeding-drop ;24h
ID4352,RNAi-II9C20 ;feeding-drop ;24h
ID4353,RNAi-II9C20 ;feeding-drop ;24h
ID4354,RNAi-II9C20 ;feeding-drop ;24h
ID4355,RNAi-II9C20 ;feeding-drop ;24h
ID4356,RNAi-II9C20 ;feeding-drop ;24h
ID4358,RNAi-II9C20 ;feeding-drop ;24h
ID2515,RNAi-I6N04 ;feeding-drop ;24h
ID2517,RNAi-I6N04 ;feeding-drop ;24h
ID2518,RNAi-I6N04 ;feeding-drop ;24h
ID2519,RNAi-I6N04 ;feeding-drop ;24h
ID2520,RNAi-I6N04 ;feeding-drop ;24h
ID2523,RNAi-I6N04 ;feeding-drop ;24h
ID2521,RNAi-I6N04 ;feeding-drop ;24h
ID2522,RNAi-I6N04 ;feeding-drop ;24h
ID2524,RNAi-I6N04 ;feeding-drop ;24h
ID2525,RNAi-I6N04 ;feeding-drop ;24h
ID2526,RNAi-I6N04 ;feeding-drop ;24h
ID2527,RNAi-I6N04 ;feeding-drop ;24h
ID2528,RNAi-I6N04 ;feeding-drop ;24h
ID6714,RNAi-vec48 ;feeding-3mM ;48h ;;mutant-gk756
ID6715,RNAi-vec48 ;feeding-3mM ;48h ;;mutant-gk756
ID6716,RNAi-vec48 ;feeding-3mM ;48h ;;mutant-gk756
ID6717,RNAi-vec48 ;feeding-3mM ;48h ;;mutant-gk756
ID6718,RNAi-vec48 ;feeding-3mM ;48h ;;mutant-gk756
ID6719,RNAi-vec48 ;feeding-3mM ;48h ;;mutant-gk756
