did,tempe
ID7063,18C
ID7001,18C
ID7002,18C
ID7003,18C
ID7004,18C
ID7005,18C
ID7006,18C
ID7007,18C
ID7008,18C
ID7311,18C
ID7313,18C
ID7314,18C
ID7315,18C
ID7316,18C
ID7317,18C
ID7319,18C
ID7601,18C
ID7602,18C
ID7603,18C
ID7604,18C
ID7605,18C
ID7606,18C
ID7607,18C
ID7608,18C
ID7296,18C
ID7297,18C
ID7298,18C
ID7299,18C
ID7300,18C
ID7301,18C
ID7302,18C
ID7303,18C
ID6782,18C
ID6783,18C
ID6784,18C
ID6785,18C
ID6786,18C
ID6419,18C
ID6420,18C
ID6421,18C
ID6422,18C
ID6423,18C
ID6424,18C
ID6425,18C
ID6426,18C
ID2170,18C
ID2203,18C
ID2205,18C
ID2206,18C
ID2207,18C
ID2209,18C
ID2210,18C
ID2212,18C
ID2213,18C
ID2251,18C
ID2255,18C
ID2252,18C
ID2256,18C
ID2257,18C
ID2258,18C
ID2202,18C
ID4204,18C
ID4205,18C
ID4206,18C
ID4207,18C
ID4209,18C
ID4210,18C
ID4212,18C
ID8968,18C
ID8969,18C
ID8970,18C
ID8971,18C
ID8992,18C
ID8973,18C
ID8974,18C
ID8975,18C
ID9490,18C
ID9491,18C
ID9492,18C
ID9493,18C
ID9495,18C
ID9496,18C
ID9497,18C
ID9498,18C
ID8901,18C
ID8902,18C
ID8903,18C
ID8904,18C
ID8905,18C
ID8906,18C
ID8907,18C
ID8908,18C
ID10651,23C
ID10653,23C
ID10654,23C
ID10657,23C
ID10659,23C
ID10660,23C
ID10612,18C
ID10613,18C
ID10614,18C
ID10615,18C
ID10616,18C
ID10617,18C
ID10618,18C
ID10619,18C
ID10620,18C
ID10621,18C
ID9924,18C
ID9925,18C
ID9926,18C
ID9927,18C
ID9928,18C
ID9951,18C
ID9953,18C
ID9954,18C
ID9955,18C
ID12179,23C
ID12213,23C
ID12215,23C
ID12216,23C
ID12364,23C
ID12366,23C
ID12367,23C
ID12378,23C
ID12379,23C
ID9802,18C
ID9803,18C
ID9804,18C
ID9805,18C
ID9806,18C
ID9807,18C
ID9808,18C
ID9809,18C
ID9810,18C
ID9811,18C
ID12409,23C
ID12410,23C
ID12411,23C
ID12412,23C
ID12413,23C
ID12532,23C
ID12533,23C
ID12534,23C
ID12537,23C
ID12538,23C
ID12531,23C
ID12523,23C
ID12524,23C
ID12525,23C
ID12526,23C
ID12414,23C
ID12415,23C
ID12416,23C
ID12417,23C
ID12418,23C
ID12419,23C
ID12392,23C
ID12393,23C
ID12395,23C
ID12397,23C
ID12398,23C
ID12399,23C
ID12679,23C
ID12680,23C
ID12681,23C
ID12683,23C
ID12684,23C
ID12553,23C
ID12554,23C
ID12555,23C
ID12557,23C
ID12558,23C
ID12561,23C
ID12564,23C
ID12326,23C
ID12327,23C
ID12328,23C
ID12330,23C
ID12332,23C
ID12333,23C
ID12334,23C
ID12335,23C
ID12337,23C
ID12338,23C
ID12339,23C
ID12180,23C
ID12181,23C
ID12182,23C
ID12184,23C
ID12185,23C
ID12186,23C
ID12271,23C
ID12277,23C
ID12513,23C
ID12503,23C
ID12510,23C
ID12512,23C
ID12228,23C
ID12265,23C
ID12267,23C
ID12269,23C
ID12270,23C
ID12385,23C
ID12386,23C
ID12387,23C
ID12388,23C
ID12389,23C
ID12390,23C
ID12663,23C
ID12664,23C
ID12666,23C
ID12667,23C
ID12668,23C
ID12669,23C
ID12670,23C
ID12672,23C
ID12400,23C
ID12401,23C
ID12402,23C
ID12590,23C
ID12591,23C
ID12592,23C
ID12593,23C
ID12596,23C
ID12597,23C
